+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                  ;
+--------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                              ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
+--------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; glue_bram|bram                                         ; 100   ; 2              ; 35           ; 2              ; 66     ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; glue_bram|\G_timer:timer                               ; 45    ; 11             ; 10           ; 11             ; 40     ; 11              ; 11            ; 11              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; glue_bram|\G_gpio:0:gpio_inst                          ; 42    ; 0              ; 0            ; 0              ; 33     ; 0               ; 0             ; 0               ; 64    ; 0              ; 32           ; 0                ; 32                ;
; glue_bram|\G_sio:0:sio_instance                        ; 40    ; 0              ; 10           ; 0              ; 34     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; glue_bram|pipeline|multiplier                          ; 69    ; 1              ; 1            ; 1              ; 65     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; glue_bram|pipeline|\G_pipelined_load_aligner:loadalign ; 37    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; glue_bram|pipeline|shift                               ; 76    ; 0              ; 3            ; 0              ; 64     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; glue_bram|pipeline|alu                                 ; 68    ; 1              ; 0            ; 1              ; 65     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; glue_bram|pipeline|regfile                             ; 55    ; 32             ; 6            ; 32             ; 96     ; 32              ; 32            ; 32              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; glue_bram|pipeline|\G_idecode_rv32:idecode             ; 32    ; 17             ; 0            ; 17             ; 127    ; 17              ; 17            ; 17              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; glue_bram|pipeline                                     ; 116   ; 27             ; 40           ; 27             ; 121    ; 27              ; 27            ; 27              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; glue_bram                                              ; 34    ; 41             ; 0            ; 41             ; 34     ; 41              ; 41            ; 41              ; 128   ; 0              ; 112          ; 0                ; 112               ;
; clock                                                  ; 1     ; 0              ; 0            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; I2C|u0|wrd                                             ; 36    ; 8              ; 0            ; 8              ; 4      ; 8               ; 8             ; 8               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; I2C|u0                                                 ; 28    ; 2              ; 0            ; 2              ; 3      ; 2               ; 2             ; 2               ; 1     ; 0              ; 0            ; 0                ; 0                 ;
; I2C                                                    ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 1     ; 0              ; 0            ; 0                ; 0                 ;
; video                                                  ; 14    ; 0              ; 0            ; 0              ; 28     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
+--------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
